Date,Year,Month_Num,Month_Name,Quarter,Quarter_Label,Week_Num,Day_Name,Day_Num,Is_Weekend,Is_Month_Start,Is_Month_End
2017-05-23,2017,5,May,2,Q2 2017,21,Tuesday,23,0,0,0
2017-05-24,2017,5,May,2,Q2 2017,21,Wednesday,24,0,0,0
2017-05-25,2017,5,May,2,Q2 2017,21,Thursday,25,0,0,0
2017-05-26,2017,5,May,2,Q2 2017,21,Friday,26,0,0,0
2017-05-27,2017,5,May,2,Q2 2017,21,Saturday,27,1,0,0
2017-05-28,2017,5,May,2,Q2 2017,21,Sunday,28,1,0,0
2017-05-29,2017,5,May,2,Q2 2017,22,Monday,29,0,0,0
2017-05-30,2017,5,May,2,Q2 2017,22,Tuesday,30,0,0,0
2017-05-31,2017,5,May,2,Q2 2017,22,Wednesday,31,0,0,1
2017-06-01,2017,6,June,2,Q2 2017,22,Thursday,1,0,1,0
2017-06-02,2017,6,June,2,Q2 2017,22,Friday,2,0,0,0
2017-06-03,2017,6,June,2,Q2 2017,22,Saturday,3,1,0,0
2017-06-04,2017,6,June,2,Q2 2017,22,Sunday,4,1,0,0
2017-06-05,2017,6,June,2,Q2 2017,23,Monday,5,0,0,0
2017-06-06,2017,6,June,2,Q2 2017,23,Tuesday,6,0,0,0
2017-06-07,2017,6,June,2,Q2 2017,23,Wednesday,7,0,0,0
2017-06-08,2017,6,June,2,Q2 2017,23,Thursday,8,0,0,0
2017-06-09,2017,6,June,2,Q2 2017,23,Friday,9,0,0,0
2017-06-10,2017,6,June,2,Q2 2017,23,Saturday,10,1,0,0
2017-06-11,2017,6,June,2,Q2 2017,23,Sunday,11,1,0,0
2017-06-12,2017,6,June,2,Q2 2017,24,Monday,12,0,0,0
2017-06-13,2017,6,June,2,Q2 2017,24,Tuesday,13,0,0,0
2017-06-14,2017,6,June,2,Q2 2017,24,Wednesday,14,0,0,0
2017-06-15,2017,6,June,2,Q2 2017,24,Thursday,15,0,0,0
2017-06-16,2017,6,June,2,Q2 2017,24,Friday,16,0,0,0
2017-06-17,2017,6,June,2,Q2 2017,24,Saturday,17,1,0,0
2017-06-18,2017,6,June,2,Q2 2017,24,Sunday,18,1,0,0
2017-06-19,2017,6,June,2,Q2 2017,25,Monday,19,0,0,0
2017-06-20,2017,6,June,2,Q2 2017,25,Tuesday,20,0,0,0
2017-06-21,2017,6,June,2,Q2 2017,25,Wednesday,21,0,0,0
2017-06-22,2017,6,June,2,Q2 2017,25,Thursday,22,0,0,0
2017-06-23,2017,6,June,2,Q2 2017,25,Friday,23,0,0,0
2017-06-24,2017,6,June,2,Q2 2017,25,Saturday,24,1,0,0
2017-06-25,2017,6,June,2,Q2 2017,25,Sunday,25,1,0,0
2017-06-26,2017,6,June,2,Q2 2017,26,Monday,26,0,0,0
2017-06-27,2017,6,June,2,Q2 2017,26,Tuesday,27,0,0,0
2017-06-28,2017,6,June,2,Q2 2017,26,Wednesday,28,0,0,0
2017-06-29,2017,6,June,2,Q2 2017,26,Thursday,29,0,0,0
2017-06-30,2017,6,June,2,Q2 2017,26,Friday,30,0,0,1
